Id,SalePrice
1461,119370.13749023626
1462,151039.7018760034
1463,180409.367137275
1464,187390.8975446304
1465,223339.60729693557
1466,183146.5055785691
1467,175540.72558565036
1468,177331.80648711693
1469,175706.6470534199
1470,133081.50018856226
1471,212970.40874891536
1472,106911.02973217229
1473,108716.69271744603
1474,166758.5982016279
1475,137690.26451179758
1476,426782.17397733394
1477,261696.37679796363
1478,303187.3187633665
1479,288210.43158209225
1480,473334.2893134445
1481,317048.9413633039
1482,225060.99121828625
1483,167970.59407135466
1484,185076.88258606987
1485,167427.25654122504
1486,198917.1617800876
1487,357496.8707701693
1488,235305.27148283663
1489,218109.92127979704
1490,221130.36714087508
1491,193470.07992329262
1492,98421.03360432388
1493,198652.5031175198
1494,293928.9244183468
1495,286497.62884275836
1496,258650.15338986798
1497,205062.45141529755
1498,180022.76185086626
1499,182365.5591635882
1500,161466.8344674984
1501,187203.9149761546
1502,165879.56571977705
1503,308420.33126854344
1504,227708.22122007143
1505,226714.74807875717
1506,188990.33222269695
1507,250220.61897552383
1508,211641.6944241306
1509,166599.49627975238
1510,148456.1806907161
1511,145334.0549501566
1512,169504.9674229089
1513,157482.449594011
1514,175142.8191179733
1515,187779.43278242322
1516,144617.8663879817
1517,160375.7410170557
1518,146903.15980235295
1519,240464.29136178055
1520,144237.00008278046
1521,141437.73874817792
1522,173547.45394935756
1523,106748.69487038809
1524,123825.8969980277
1525,117194.20097128126
1526,111153.41313510013
1527,105790.85113868084
1528,128035.94656746727
1529,152892.0792350812
1530,175294.6877280499
1531,117207.41588005485
1532,106246.49001047673
1533,142128.12717352202
1534,116528.32524338271
1535,148602.61614325206
1536,110101.73375391145
1537,100338.32326726089
1538,188478.13500876472
1539,217692.26507249114
1540,120294.32683436235
1541,137233.0772171679
1542,141130.55343143333
1543,237259.9731621131
1544,74351.29839421708
1545,113319.45515404046
1546,130438.15017183611
1547,130777.65679317038
1548,140574.6556328597
1549,100862.68746231872
1550,148815.0367617746
1551,117191.44567894151
1552,145113.60536908457
1553,133517.65897402656
1554,113656.59606446071
1555,170756.89626520133
1556,90904.72066351502
1557,117191.05442200339
1558,100848.58963187585
1559,102812.44336162848
1560,147414.63278522826
1561,186334.26885455195
1562,130041.15773877801
1563,126585.85619547291
1564,179512.25191296483
1565,151254.24381259704
1566,235605.81940924632
1567,88046.94723389675
1568,244189.58544058737
1569,146393.9626247632
1570,137864.19387768657
1571,117597.13544651086
1572,156290.70587983486
1573,256268.53392642934
1574,125121.36555322027
1575,224227.45798145712
1576,227412.13968106406
1577,203311.60965646428
1578,147344.1949998722
1579,143842.192436137
1580,205027.11453116324
1581,147639.46341121692
1582,126811.0169075013
1583,320292.23006937746
1584,234682.43060325968
1585,152534.47152117564
1586,62079.205500596116
1587,98064.73211547115
1588,154581.24097475398
1589,103059.50221984579
1590,140505.6080469505
1591,97647.36324503244
1592,129280.83165796714
1593,128113.43148190905
1594,153507.01953015104
1595,118355.76394400533
1596,238449.23871186908
1597,182723.48196071506
1598,196547.33693453952
1599,209096.56504536918
1600,212240.90683450218
1601,74698.57224097084
1602,119602.1374153578
1603,83682.64609215256
1604,296760.20080692804
1605,251130.34336566716
1606,159775.8561392967
1607,179606.17715831724
1608,201876.23866716257
1609,200823.29238182525
